sequence,v115@vhH5DJOkBlgBzkBlmBcsBKtB3qB,v115@vhHT/IlgBypBlmBcsBOtB5oB3qB,v115@vhH5DJTfBllB3mBcsBKtBmpBlqB,v115@vhHNEJzgB3mBcsBNtBGqB5oBaqB,v115@vhHOEJlgBzkB0mB3qBFtB5oBisB
TTILJSZO,X,X,X,X,X
TTILJSOZ,X,X,X,X,X
TTILJZSO,X,X,X,X,X
TTILJZOS,X,X,X,X,X
TTILJOSZ,X,X,X,X,X
TTILJOZS,X,X,X,X,X
TTILSJZO,X,X,X,X,X
TTILSJOZ,X,X,X,X,X
TTILSZJO,X,X,X,X,X
TTILSZOJ,X,X,X,X,X
TTILSOJZ,X,X,X,X,X
TTILSOZJ,X,X,X,X,X
TTILZJSO,X,X,X,X,X
TTILZJOS,X,X,X,X,X
TTILZSJO,X,X,X,X,X
TTILZSOJ,X,X,X,X,X
TTILZOJS,X,X,X,X,X
TTILZOSJ,X,X,X,X,X
TTILOJSZ,X,X,X,X,X
TTILOJZS,X,X,X,X,X
TTILOSJZ,X,X,X,X,X
TTILOSZJ,X,X,X,X,X
TTILOZJS,X,X,X,X,X
TTILOZSJ,X,X,X,X,X
TTIJLSZO,X,X,X,X,X
TTIJLSOZ,X,X,X,X,X
TTIJLZSO,X,X,X,X,X
TTIJLZOS,X,X,X,X,X
TTIJLOSZ,X,X,X,X,X
TTIJLOZS,X,X,X,X,X
TTIJSLZO,X,X,X,X,X
TTIJSLOZ,X,X,X,X,X
TTIJSZLO,X,X,X,X,X
TTIJSZOL,X,X,X,X,X
TTIJSOLZ,X,X,X,X,X
TTIJSOZL,X,X,X,X,X
TTIJZLSO,X,X,X,X,X
TTIJZLOS,X,X,X,X,X
TTIJZSLO,X,X,X,X,X
TTIJZSOL,X,X,X,X,X
TTIJZOLS,X,X,X,X,X
TTIJZOSL,X,X,X,X,X
TTIJOLSZ,X,X,X,X,X
TTIJOLZS,X,X,X,X,X
TTIJOSLZ,X,X,X,X,X
TTIJOSZL,X,X,X,X,X
TTIJOZLS,X,X,X,X,X
TTIJOZSL,X,X,X,X,X
TTISLJZO,X,X,X,X,X
TTISLJOZ,X,X,X,X,X
TTISLZJO,X,X,X,X,X
TTISLZOJ,X,X,X,X,X
TTISLOJZ,X,X,X,X,X
TTISLOZJ,X,X,X,X,X
TTISJLZO,X,X,X,X,X
TTISJLOZ,X,X,X,X,X
TTISJZLO,X,X,X,X,X
TTISJZOL,X,X,X,X,X
TTISJOLZ,X,X,X,X,X
TTISJOZL,X,X,X,X,X
TTISZLJO,X,X,X,X,X
TTISZLOJ,X,X,X,X,X
TTISZJLO,X,X,X,X,X
TTISZJOL,X,X,X,X,X
TTISZOLJ,X,X,X,X,X
TTISZOJL,X,X,X,X,X
TTISOLJZ,X,X,X,X,X
TTISOLZJ,X,X,X,X,X
TTISOJLZ,X,X,X,X,X
TTISOJZL,X,X,X,X,X
TTISOZLJ,X,X,X,X,X
TTISOZJL,X,X,X,X,X
TTIZLJSO,X,X,X,X,X
TTIZLJOS,X,X,X,X,X
TTIZLSJO,X,X,X,X,X
TTIZLSOJ,X,X,X,X,X
TTIZLOJS,X,X,X,X,X
TTIZLOSJ,X,X,X,X,X
TTIZJLSO,X,X,X,X,X
TTIZJLOS,X,X,X,X,X
TTIZJSLO,X,X,X,X,X
TTIZJSOL,X,X,X,X,X
TTIZJOLS,X,X,X,X,X
TTIZJOSL,X,X,X,X,X
TTIZSLJO,X,X,X,X,X
TTIZSLOJ,X,X,X,X,X
TTIZSJLO,X,X,X,X,X
TTIZSJOL,X,X,X,X,X
TTIZSOLJ,X,X,X,X,X
TTIZSOJL,X,X,X,X,X
TTIZOLJS,X,X,X,X,X
TTIZOLSJ,X,X,X,X,X
TTIZOJLS,X,X,X,X,X
TTIZOJSL,X,X,X,X,X
TTIZOSLJ,X,X,X,X,X
TTIZOSJL,X,X,X,X,X
TTIOLJSZ,X,X,X,X,X
TTIOLJZS,X,X,X,X,X
TTIOLSJZ,X,X,X,X,X
TTIOLSZJ,X,X,X,X,X
TTIOLZJS,X,X,X,X,X
TTIOLZSJ,X,X,X,X,X
TTIOJLSZ,X,X,X,X,X
TTIOJLZS,X,X,X,X,X
TTIOJSLZ,X,X,X,X,X
TTIOJSZL,X,X,X,X,X
TTIOJZLS,X,X,X,X,X
TTIOJZSL,X,X,X,X,X
TTIOSLJZ,X,X,X,X,X
TTIOSLZJ,X,X,X,X,X
TTIOSJLZ,X,X,X,X,X
TTIOSJZL,X,X,X,X,X
TTIOSZLJ,X,X,X,X,X
TTIOSZJL,X,X,X,X,X
TTIOZLJS,X,X,X,X,X
TTIOZLSJ,X,X,X,X,X
TTIOZJLS,X,X,X,X,X
